Date,Open,High,Low,Close,Adj Close,Volume
2013-03-19,1552.099976,1557.25,1538.569946,1548.339966,1548.339966,3796210000
2013-03-20,1548.339966,1561.560059,1548.339966,1558.709961,1558.709961,3349090000
2013-03-21,1558.709961,1558.709961,1543.550049,1545.800049,1545.800049,3243270000
2013-03-22,1545.900024,1557.73999,1545.900024,1556.890015,1556.890015,2948380000
2013-03-25,1556.890015,1564.910034,1546.219971,1551.689941,1551.689941,3178170000
2013-03-26,1551.689941,1563.949951,1551.689941,1563.77002,1563.77002,2869260000
2013-03-27,1563.75,1564.069946,1551.900024,1562.849976,1562.849976,2914210000
2013-03-28,1562.859985,1570.280029,1561.079956,1569.189941,1569.189941,3304440000
2013-04-01,1569.180054,1570.569946,1558.469971,1562.170044,1562.170044,2753110000
2013-04-02,1562.170044,1573.660034,1562.170044,1570.25,1570.25,3312160000
2013-04-03,1570.25,1571.469971,1549.800049,1553.689941,1553.689941,4060610000
2013-04-04,1553.689941,1562.599976,1552.52002,1559.97998,1559.97998,3350670000
2013-04-05,1559.97998,1559.97998,1539.5,1553.280029,1553.280029,3515410000
2013-04-08,1553.26001,1563.069946,1548.630005,1563.069946,1563.069946,2887120000
2013-04-09,1563.109985,1573.890015,1560.920044,1568.609985,1568.609985,3252780000
2013-04-10,1568.609985,1589.069946,1568.609985,1587.72998,1587.72998,3453350000
2013-04-11,1587.72998,1597.349976,1586.170044,1593.369995,1593.369995,3393950000
2013-04-12,1593.300049,1593.300049,1579.969971,1588.849976,1588.849976,3206290000
2013-04-15,1588.839966,1588.839966,1552.280029,1552.359985,1552.359985,4660130000
2013-04-16,1552.359985,1575.349976,1552.359985,1574.569946,1574.569946,3654700000
2013-04-17,1574.569946,1574.569946,1543.689941,1552.01001,1552.01001,4250310000
2013-04-18,1552.030029,1554.380005,1536.030029,1541.609985,1541.609985,3890800000
2013-04-19,1541.609985,1555.890015,1539.400024,1555.25,1555.25,3569870000
2013-04-22,1555.25,1565.550049,1548.189941,1562.5,1562.5,2979880000
2013-04-23,1562.5,1579.579956,1562.5,1578.780029,1578.780029,3565150000
2013-04-24,1578.780029,1583.0,1575.800049,1578.790039,1578.790039,3598240000
2013-04-25,1578.930054,1592.640015,1578.930054,1585.160034,1585.160034,3908580000
2013-04-26,1585.160034,1585.780029,1577.560059,1582.23999,1582.23999,3198620000
2013-04-29,1582.339966,1596.650024,1582.339966,1593.609985,1593.609985,2891200000
2013-04-30,1593.579956,1597.569946,1586.5,1597.569946,1597.569946,3745070000
2013-05-01,1597.550049,1597.550049,1581.280029,1582.699951,1582.699951,3530320000
2013-05-02,1582.77002,1598.599976,1582.77002,1597.589966,1597.589966,3366950000
2013-05-03,1597.599976,1618.459961,1597.599976,1614.420044,1614.420044,3603910000
2013-05-06,1614.400024,1619.77002,1614.209961,1617.5,1617.5,3062240000
2013-05-07,1617.550049,1626.030029,1616.640015,1625.959961,1625.959961,3309580000
2013-05-08,1625.949951,1632.780029,1622.699951,1632.689941,1632.689941,3554700000
2013-05-09,1632.689941,1635.01001,1623.089966,1626.670044,1626.670044,3457400000
2013-05-10,1626.689941,1633.699951,1623.709961,1633.699951,1633.699951,3086470000
2013-05-13,1632.099976,1636.0,1626.73999,1633.77002,1633.77002,2910600000
2013-05-14,1633.75,1651.099976,1633.75,1650.339966,1650.339966,3457790000
2013-05-15,1649.130005,1661.48999,1646.680054,1658.780029,1658.780029,3657440000
2013-05-16,1658.069946,1660.51001,1648.599976,1650.469971,1650.469971,3513130000
2013-05-17,1652.449951,1667.469971,1652.449951,1667.469971,1667.469971,3440710000
2013-05-20,1665.709961,1672.839966,1663.52002,1666.290039,1666.290039,3275080000
2013-05-21,1666.199951,1674.930054,1662.670044,1669.160034,1669.160034,3513560000
2013-05-22,1669.390015,1687.180054,1648.859985,1655.349976,1655.349976,4361020000
2013-05-23,1651.619995,1655.5,1635.530029,1650.51001,1650.51001,3945510000
2013-05-24,1646.670044,1649.780029,1636.880005,1649.599976,1649.599976,2758080000
2013-05-28,1652.630005,1674.209961,1652.630005,1660.060059,1660.060059,3457400000
2013-05-29,1656.569946,1656.569946,1640.050049,1648.359985,1648.359985,3587140000
2013-05-30,1649.140015,1661.910034,1648.609985,1654.410034,1654.410034,3498620000
2013-05-31,1652.130005,1658.98999,1630.73999,1630.73999,1630.73999,4099600000
2013-06-03,1631.709961,1640.420044,1622.719971,1640.420044,1640.420044,3952070000
2013-06-04,1640.72998,1646.530029,1623.619995,1631.380005,1631.380005,3653840000
2013-06-05,1629.050049,1629.310059,1607.089966,1608.900024,1608.900024,3632350000
2013-06-06,1609.290039,1622.560059,1598.22998,1622.560059,1622.560059,3547380000
2013-06-07,1625.27002,1644.400024,1625.27002,1643.380005,1643.380005,3371990000
